sample	file_name	type	day
C283-d2-WRC_R1	NS.2055.003.IDT_i7_29---IDT_i5_29.C283-d2-WRC_R1	rumen	2
C283-d2-WRC_R2	NS.2055.003.IDT_i7_29---IDT_i5_29.C283-d2-WRC_R2	rumen	2
C283-d7-M_R1	NS.2055.002.IDT_i7_138---IDT_i5_138.C283-d7-M_R1	milk	7
C283-d7-M_R2	NS.2055.002.IDT_i7_138---IDT_i5_138.C283-d7-M_R2	milk	7
C283-d7-WRC_R1	NS.2055.003.IDT_i7_89---IDT_i5_89.C283-d7-WRC_R1	rumen	7
C283-d7-WRC_R2	NS.2055.003.IDT_i7_89---IDT_i5_89.C283-d7-WRC_R2	rumen	7
C284-d14-M_R1	NS.2055.002.IDT_i7_74---IDT_i5_74.C284-d14-M_R1	milk	14
C284-d14-M_R2	NS.2055.002.IDT_i7_74---IDT_i5_74.C284-d14-M_R2	milk	14
C284-d14-WRC_R1	NS.2055.003.IDT_i7_93---IDT_i5_93.C284-d14-WRC_R1	rumen	14
C284-d14-WRC_R2	NS.2055.003.IDT_i7_93---IDT_i5_93.C284-d14-WRC_R2	rumen	14
C284-d21-WRC_R1	NS.2055.003.IDT_i7_53---IDT_i5_53.C284-d21-WRC_R1	rumen	21
C284-d21-WRC_R2	NS.2055.003.IDT_i7_53---IDT_i5_53.C284-d21-WRC_R2	rumen	21
C284-d28-M_R1	NS.2055.003.IDT_i7_241---IDT_i5_241.C284-d28-M_R1	milk	28
C284-d28-M_R2	NS.2055.003.IDT_i7_241---IDT_i5_241.C284-d28-M_R2	milk	28
C284-d28-WRC_R1	NS.2055.003.IDT_i7_57---IDT_i5_57.C284-d28-WRC_R1	rumen	28
C284-d28-WRC_R2	NS.2055.003.IDT_i7_57---IDT_i5_57.C284-d28-WRC_R2	rumen	28
C284-d2-M_R1	NS.2055.002.IDT_i7_149---IDT_i5_149.C284-d2-M_R1	milk	2
C284-d2-M_R2	NS.2055.002.IDT_i7_149---IDT_i5_149.C284-d2-M_R2	milk	2
