sample	file_name	type	day
C618-d2-WRC_R1	NS.2055.003.IDT_i7_254---IDT_i5_254.C618-d2-WRC_R1	rumen	2
C618-d2-WRC_R2	NS.2055.003.IDT_i7_254---IDT_i5_254.C618-d2-WRC_R2	rumen	2
C618-d7-WRC_R1	NS.2055.003.IDT_i7_19---IDT_i5_19.C618-d7-WRC_R1	rumen	7
C618-d7-WRC_R2	NS.2055.003.IDT_i7_19---IDT_i5_19.C618-d7-WRC_R2	rumen	7
C830-d14-WRC_R1	NS.2055.003.IDT_i7_70---IDT_i5_70.C830-d14-WRC_R1	rumen	14
C830-d14-WRC_R2	NS.2055.003.IDT_i7_70---IDT_i5_70.C830-d14-WRC_R2	rumen	14
C830-d21-WRC_R1	NS.2055.003.IDT_i7_88---IDT_i5_88.C830-d21-WRC_R1	rumen	21
C830-d21-WRC_R2	NS.2055.003.IDT_i7_88---IDT_i5_88.C830-d21-WRC_R2	rumen	21
C830-d28-WRC_R1	NS.2055.003.IDT_i7_91---IDT_i5_91.C830-d28-WRC_R1	rumen	28
C830-d28-WRC_R2	NS.2055.003.IDT_i7_91---IDT_i5_91.C830-d28-WRC_R2	rumen	28
C830-d2-WRC_R1	NS.2055.003.IDT_i7_17---IDT_i5_17.C830-d2-WRC_R1	rumen	2
C830-d2-WRC_R2	NS.2055.003.IDT_i7_17---IDT_i5_17.C830-d2-WRC_R2	rumen	2
C830-d7-WRC_R1	NS.2055.003.IDT_i7_81---IDT_i5_81.C830-d7-WRC_R1	rumen	7
C830-d7-WRC_R2	NS.2055.003.IDT_i7_81---IDT_i5_81.C830-d7-WRC_R2	rumen	7
C843-d14-WRC_R1	NS.2055.003.IDT_i7_22---IDT_i5_22.C843-d14-WRC_R1	rumen	14
C843-d14-WRC_R2	NS.2055.003.IDT_i7_22---IDT_i5_22.C843-d14-WRC_R2	rumen	14
C843-d21-WRC_R1	NS.2055.003.IDT_i7_10---IDT_i5_10.C843-d21-WRC_R1	rumen	21
C843-d21-WRC_R2	NS.2055.003.IDT_i7_10---IDT_i5_10.C843-d21-WRC_R2	rumen	21
C843-d28-WRC_R1	NS.2055.003.IDT_i7_6---IDT_i5_6.C843-d28-WRC_R1	rumen	28
C843-d28-WRC_R2	NS.2055.003.IDT_i7_6---IDT_i5_6.C843-d28-WRC_R2	rumen	28
C843-d2-WRC_R1	NS.2055.003.IDT_i7_67---IDT_i5_67.C843-d2-WRC_R1	rumen	2
C843-d2-WRC_R2	NS.2055.003.IDT_i7_67---IDT_i5_67.C843-d2-WRC_R2	rumen	2
C843-d7-WRC_R1	NS.2055.003.IDT_i7_30---IDT_i5_30.C843-d7-WRC_R1	rumen	7
C843-d7-WRC_R2	NS.2055.003.IDT_i7_30---IDT_i5_30.C843-d7-WRC_R2	rumen	7
C844-d14-WRC_R1	NS.2055.003.IDT_i7_207---IDT_i5_207.C844-d14-WRC_R1	rumen	14
C844-d14-WRC_R2	NS.2055.003.IDT_i7_207---IDT_i5_207.C844-d14-WRC_R2	rumen	14
C844-d21-WRC_R1	NS.2055.003.IDT_i7_266---IDT_i5_266.C844-d21-WRC_R1	rumen	21
C844-d21-WRC_R2	NS.2055.003.IDT_i7_266---IDT_i5_266.C844-d21-WRC_R2	rumen	21
C844-d28-WRC_R1	NS.2055.003.IDT_i7_31---IDT_i5_31.C844-d28-WRC_R1	rumen	28
C844-d28-WRC_R2	NS.2055.003.IDT_i7_31---IDT_i5_31.C844-d28-WRC_R2	rumen	28
C844-d2-WRC_R1	NS.2055.003.IDT_i7_42---IDT_i5_42.C844-d2-WRC_R1	rumen	2
C844-d2-WRC_R2	NS.2055.003.IDT_i7_42---IDT_i5_42.C844-d2-WRC_R2	rumen	2
C844-d7-WRC_R1	NS.2055.003.IDT_i7_90---IDT_i5_90.C844-d7-WRC_R1	rumen	7
C844-d7-WRC_R2	NS.2055.003.IDT_i7_90---IDT_i5_90.C844-d7-WRC_R2	rumen	7
C847-d14-WRC_R1	NS.2055.003.IDT_i7_5---IDT_i5_5.C847-d14-WRC_R1	rumen	14
C847-d14-WRC_R2	NS.2055.003.IDT_i7_5---IDT_i5_5.C847-d14-WRC_R2	rumen	14
C847-d21-WRC_R1	NS.2055.003.IDT_i7_8---IDT_i5_8.C847-d21-WRC_R1	rumen	21
C847-d21-WRC_R2	NS.2055.003.IDT_i7_8---IDT_i5_8.C847-d21-WRC_R2	rumen	21
